@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute Hand_Number numeric
@attribute ThumbExtension_x numeric
@attribute ThumbExtension_y numeric
@attribute ThumbExtension_z numeric
@attribute IndexExtension_x numeric
@attribute IndexExtension_y numeric
@attribute IndexExtension_z numeric
@attribute MiddleExtension_x numeric
@attribute MiddleExtension_y numeric
@attribute MiddleExtension_z numeric
@attribute RingExtension_x numeric
@attribute RingExtension_y numeric
@attribute RingExtension_z numeric
@attribute PinkyExtension_x numeric
@attribute PinkyExtension_y numeric
@attribute PinkyExtension_z numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric
@attribute outputs-10 numeric
@attribute outputs-11 numeric
@attribute outputs-12 numeric
@attribute outputs-13 numeric

@data
17,'2021/08/06 11:06:37:282',1,0,-81.090218,-25.455292,-47.218575,-84.212624,10.593277,71.789436,-66.830513,19.949326,97.100708,-40.317982,22.148026,103.01178,6.877708,36.215866,94.663239,0.767259,0.728459,0.225926,0.262628,0.992614,0.668247,0.524757,0.746177,0.265025,0.394641,0.336427,0.841057,0.844169
18,'2021/08/06 11:06:37:300',1,0,-81.326767,-25.307465,-47.072811,-84.224083,10.487076,71.81366,-66.825157,19.883606,97.127228,-40.25346,22.033173,103.070999,7.059029,36.250656,94.681107,0.767259,0.728459,0.225926,0.262628,0.992614,0.668247,0.524757,0.746177,0.265025,0.394641,0.336427,0.841057,0.844169
19,'2021/08/06 11:06:37:318',1,0,-81.456268,-25.257797,-46.885452,-84.181595,10.437454,71.810631,-66.763992,19.879211,97.102051,-40.220486,22.00798,103.024399,7.252541,36.236633,94.665527,0.767259,0.728459,0.225926,0.262628,0.992614,0.668247,0.524757,0.746177,0.265025,0.394641,0.336427,0.841057,0.844169
20,'2021/08/06 11:06:37:334',1,0,-81.58934,-25.236374,-46.787918,-84.198753,10.298187,71.836906,-66.821671,19.985626,97.038391,-40.229225,21.987137,103.023026,7.393448,36.307175,94.666031,0.767259,0.728459,0.225926,0.262628,0.992614,0.668247,0.524757,0.746177,0.265025,0.394641,0.336427,0.841057,0.844169
21,'2021/08/06 11:06:37:352',1,0,-81.646149,-25.291687,-46.823662,-84.213737,10.264832,71.775223,-66.833984,20.059143,96.952393,-40.212345,21.967941,102.98098,7.503914,36.402069,94.606766,0.767259,0.728459,0.225926,0.262628,0.992614,0.668247,0.524757,0.746177,0.265025,0.394641,0.336427,0.841057,0.844169
22,'2021/08/06 11:06:37:370',1,0,-81.739906,-25.28685,-46.92247,-84.295616,10.246719,71.717392,-66.880127,20.215561,96.886292,-40.154243,21.801025,103.05806,7.635117,36.420822,94.63269,0.767259,0.728459,0.225926,0.262628,0.992614,0.668247,0.524757,0.746177,0.265025,0.394641,0.336427,0.841057,0.844169
23,'2021/08/06 11:06:37:386',1,0,-81.750916,-25.3815,-47.175911,-84.339813,10.22879,71.619469,-66.843544,20.177505,96.862114,-40.14019,21.748505,103.026215,7.718536,36.446182,94.599709,0.767259,0.728459,0.225926,0.262628,0.992614,0.668247,0.524757,0.746177,0.265025,0.394641,0.336427,0.841057,0.844169
24,'2021/08/06 11:06:37:404',1,0,-81.716248,-25.788391,-47.242508,-84.35936,10.187881,71.624405,-66.819664,20.08812,96.906372,-40.100021,21.699631,103.049393,7.901085,36.338867,94.664894,0.767259,0.728459,0.225926,0.262628,0.992614,0.668247,0.524757,0.746177,0.265025,0.394641,0.336427,0.841057,0.844169
25,'2021/08/06 11:06:37:421',1,0,-81.729294,-25.866165,-47.249519,-84.405823,10.105331,71.531609,-66.798691,19.984909,96.878342,-40.151428,21.653229,102.976868,7.983749,36.260773,94.668053,0.767259,0.728459,0.225926,0.262628,0.992614,0.668247,0.524757,0.746177,0.265025,0.394641,0.336427,0.841057,0.844169
26,'2021/08/06 11:06:37:439',1,0,-81.850235,-25.887238,-47.390457,-84.505508,10.013641,71.459526,-66.871887,20.031616,96.817123,-40.150311,21.53804,103.017319,8.024681,36.26442,94.689178,0.767259,0.728459,0.225926,0.262628,0.992614,0.668247,0.524757,0.746177,0.265025,0.394641,0.336427,0.841057,0.844169
27,'2021/08/06 11:06:37:457',1,0,-82.006783,-25.675964,-47.493969,-84.505104,10.024368,71.397736,-66.800171,19.985062,96.818954,-40.115852,21.527618,102.981323,8.060043,36.230316,94.656754,0.767259,0.728459,0.225926,0.262628,0.992614,0.668247,0.524757,0.746177,0.265025,0.394641,0.336427,0.841057,0.844169
28,'2021/08/06 11:06:37:474',1,0,-82.131393,-25.645538,-47.646324,-84.521904,10.162155,71.364609,-66.742615,19.956268,96.880226,-40.09877,21.708664,102.957268,8.092911,36.343063,94.618484,0.767259,0.728459,0.225926,0.262628,0.992614,0.668247,0.524757,0.746177,0.265025,0.394641,0.336427,0.841057,0.844169
29,'2021/08/06 11:06:37:490',1,0,-82.16362,-25.835922,-47.875595,-84.53595,10.279068,71.262283,-66.653481,19.919037,96.893333,-40.10434,21.745132,102.897987,8.114548,36.467361,94.53894,0.767259,0.728459,0.225926,0.262628,0.992614,0.668247,0.524757,0.746177,0.265025,0.394641,0.336427,0.841057,0.844169
30,'2021/08/06 11:06:37:509',1,0,-82.226906,-25.894501,-48.107208,-84.592262,10.239273,71.221039,-66.631981,19.898865,96.920532,-40.079414,21.580383,102.965981,8.17469,36.414429,94.587311,0.767259,0.728459,0.225926,0.262628,0.992614,0.668247,0.524757,0.746177,0.265025,0.394641,0.336427,0.841057,0.844169
31,'2021/08/06 11:06:37:525',1,0,-82.25135,-25.88588,-48.193703,-84.581383,10.082611,71.1959,-66.55336,19.828354,96.924438,-39.993008,21.338837,103.020363,8.233131,36.268219,94.618721,0.767259,0.728459,0.225926,0.262628,0.992614,0.668247,0.524757,0.746177,0.265025,0.394641,0.336427,0.841057,0.844169
32,'2021/08/06 11:06:37:543',1,0,-82.276543,-25.934479,-48.101536,-84.536346,9.708267,71.304123,-66.528633,19.726974,96.95076,-39.955803,21.006729,103.111664,8.282219,35.966827,94.748795,0.767259,0.728459,0.225926,0.262628,0.992614,0.668247,0.524757,0.746177,0.265025,0.394641,0.336427,0.841057,0.844169
33,'2021/08/06 11:06:37:560',1,0,-82.306999,-25.821426,-47.930874,-84.448555,9.483566,71.358582,-66.496262,19.79866,96.8806,-39.953854,20.996613,103.055069,8.296928,35.76358,94.7798,0.767259,0.728459,0.225926,0.262628,0.992614,0.668247,0.524757,0.746177,0.265025,0.394641,0.336427,0.841057,0.844169
34,'2021/08/06 11:06:37:577',1,0,-82.394966,-25.644058,-47.78318,-84.415619,9.422211,71.393936,-66.430267,19.759537,96.934135,-39.95966,21.037994,103.043457,8.23484,35.667709,94.800056,0.767259,0.728459,0.225926,0.262628,0.992614,0.668247,0.524757,0.746177,0.265025,0.394641,0.336427,0.841057,0.844169
35,'2021/08/06 11:06:37:594',1,0,-82.432396,-25.686844,-47.647156,-84.336472,9.459656,71.375153,-66.356613,19.766983,96.91304,-39.884289,20.849136,103.069321,8.179359,35.566818,94.773331,0.767259,0.728459,0.225926,0.262628,0.992614,0.668247,0.524757,0.746177,0.265025,0.394641,0.336427,0.841057,0.844169
36,'2021/08/06 11:06:37:612',1,0,-82.473358,-25.798035,-47.474602,-84.273315,9.270401,71.449165,-66.383759,19.699219,96.899208,-39.919033,20.80603,103.05098,8.186996,35.229736,94.896484,0.767259,0.728459,0.225926,0.262628,0.992614,0.668247,0.524757,0.746177,0.265025,0.394641,0.336427,0.841057,0.844169
37,'2021/08/06 11:06:37:629',1,0,-82.608063,-25.561203,-47.138035,-84.080254,9.363907,71.547821,-66.22934,19.685883,96.944237,-39.783897,20.932343,103.01548,8.276421,35.001923,94.902885,0.767259,0.728459,0.225926,0.262628,0.992614,0.668247,0.524757,0.746177,0.265025,0.394641,0.336427,0.841057,0.844169
38,'2021/08/06 11:06:37:647',1,0,-82.745506,-25.459305,-47.258854,-84.043228,9.373474,71.569382,-66.201538,19.609695,96.985764,-39.779621,20.922989,103.021553,8.250725,34.93277,94.91848,0.767259,0.728459,0.225926,0.262628,0.992614,0.668247,0.524757,0.746177,0.265025,0.394641,0.336427,0.841057,0.844169
39,'2021/08/06 11:06:37:664',1,0,-82.879555,-25.564804,-47.009174,-83.722961,8.689896,71.927505,-65.994019,19.20755,97.111458,-39.472416,20.280258,103.201538,8.469574,34.25174,95.084343,0.767259,0.728459,0.225926,0.262628,0.992614,0.668247,0.524757,0.746177,0.265025,0.394641,0.336427,0.841057,0.844169
40,'2021/08/06 11:06:37:681',1,0,-83.13324,-25.495255,-46.887184,-83.576828,8.785553,72.061211,-65.903687,19.309738,97.14135,-39.382275,20.539536,103.164284,8.58049,34.194901,95.075539,0.767259,0.728459,0.225926,0.262628,0.992614,0.668247,0.524757,0.746177,0.265025,0.394641,0.336427,0.841057,0.844169
41,'2021/08/06 11:06:37:699',1,0,-83.778969,-25.042526,-46.001595,-82.89624,9.958603,72.611099,-65.087685,20.477753,97.397018,-38.502953,21.968307,103.119904,9.479454,34.911102,94.650269,0.767259,0.728459,0.225926,0.262628,0.992614,0.668247,0.524757,0.746177,0.265025,0.394641,0.336427,0.841057,0.844169
42,'2021/08/06 11:06:37:717',1,0,-84.133224,-24.80748,-45.612068,-82.525391,10.33844,72.988884,-64.655334,20.812027,97.625153,-37.972214,22.279999,103.246277,9.940788,35.119995,94.496147,0.767259,0.728459,0.225926,0.262628,0.992614,0.668247,0.524757,0.746177,0.265025,0.394641,0.336427,0.841057,0.844169
43,'2021/08/06 11:06:37:733',1,0,-84.058403,-24.97905,-45.636642,-82.45726,9.488373,73.1082,-64.630417,19.989212,97.738159,-37.901909,21.320999,103.421097,9.817612,34.401199,94.691605,0.767259,0.728459,0.225926,0.262628,0.992614,0.668247,0.524757,0.746177,0.265025,0.394641,0.336427,0.841057,0.844169
44,'2021/08/06 11:06:37:750',1,0,-84.054962,-25.010437,-45.487595,-82.415192,9.529251,73.15435,-64.527405,19.886185,97.82795,-37.697201,20.885635,103.609322,9.903931,34.18219,94.755539,0.767259,0.728459,0.225926,0.262628,0.992614,0.668247,0.524757,0.746177,0.265025,0.394641,0.336427,0.841057,0.844169
